,Scaled sound pressure level
244,118.045
245,126.807
246,125.581
247,124.438
248,109.663
249,133.241
250,136.758
251,130.197
252,128.2
253,124.512
254,124.514
255,128.718
256,128.952
257,125.211
258,128.879
259,125.114
260,111.911
261,113.11
262,132.757
263,118.129
264,122.147
265,110.364
266,133.707
267,108.991
268,127.117
269,125.484
270,133.402
271,111.959
272,128.365
273,125.194
274,131.015
275,134.308
276,123.037
277,121.627
278,123.46
279,126.218
280,130.829
281,120.193
282,117.604
283,129.038
284,118.767
285,133.756
286,112.014
287,120.33
288,116.184
289,123.054
290,121.431
291,133.012
292,121.582
293,136.826
294,122.235
295,129.964
296,133.847
297,114.042
298,132.116
299,123.742
300,134.43
301,114.984
302,120.458
303,130.96
304,126.406
305,114.9
306,133.587
307,129.556
308,117.037
309,127.763
310,131.456
311,126.457
312,133.23
313,134.319
314,132.54
315,130.307
316,118.441
317,133.211
318,123.565
319,120.419
320,113.492
321,131.013
322,125.472
323,123.12
324,125.802
325,115.659
326,127.054
327,119.135
328,129.027
329,128.354
330,135.468
331,127.53
332,132.918
333,131.865
334,117.649
335,132.898
336,131.755
337,120.189
338,122.612
339,111.135
340,114.249
341,119.916
342,115.391
343,121.527
344,131.279
345,134.058
346,132.886
347,133.956
348,132.354
349,130.05
350,125.741
351,131.718
352,122.938
353,124.17
354,128.867
355,133.664
356,109.638
357,130.989
358,130.496
359,119.945
360,119.737
361,132.149
362,112.251
363,106.26
364,118.619
365,130.348
366,129.645
367,116.967
368,125.824
369,133.252
370,113.055
371,126.045
372,125.726
373,121.789
374,130.697
375,126.446
376,110.689
377,124.355
378,132.513
379,126.896
380,126.838
381,126.675
382,120.538
383,126.195
384,125.89
385,126.086
386,112.675
387,114.477
388,137.047
389,121.771
390,131.01
391,126.752
392,124.353
393,130.374
394,131.807
395,120.446
396,132.769
397,134.946
398,123.189
399,127.417
400,126.514
401,118.122
402,129.681
403,127.581
404,126.842
405,127.006
406,121.301
407,128.679
408,127.285
409,122.94
410,116.151
411,128.402
412,133.063
413,126.805
414,123.82
415,109.885
416,122.45
417,128.647
418,131.966
419,121.499
420,128.829
421,133.649
422,136.837
423,132.595
424,117.875
425,136.886
426,123.917
427,134.152
428,133.071
429,120.702
430,132.114
431,134.336
432,129.292
433,116.724
434,109.949
435,135.924
436,118.964
437,129.147
438,126.465
439,130.588
440,121.118
441,129.367
442,110.555
443,134.226
444,131.129
445,120.243
446,130.507
447,128.345
448,111.588
449,116.603
450,132.357
451,121.407
452,114.044
453,120.513
454,133.032
455,125.721
456,129.667
457,120.147
458,124.692
459,122.086
460,123.742
461,123.879
462,128.119
463,130.205
464,131.453
465,125.837
466,124.665
467,116.181
468,107.147
469,129.395
470,126.097
471,127.054
472,113.297
473,126.843
474,130.558
475,113.333
476,122.845
477,107.267
478,122.411
479,128.629
480,122.288
481,118.291
482,121.659
483,126.898
484,125.631
485,122.044
486,129.934
487,130.217
488,134.11
489,129.969
490,127.408
491,126.995
492,124.214
493,134.478
494,112.93
495,131.889
496,126.648
497,134.826
498,125.576
499,115.413
500,110.515
501,126.736
502,133.062
503,120.324
504,128.816
505,124.931
506,122.205
507,129.377
508,112.688
509,116.066
510,128.857
511,133.097
512,117.087
513,123.213
514,119.151
515,134.34
516,120.233
517,126.966
518,130.349
519,126.201
520,123.466
521,123.081
522,137.233
523,120.779
524,126.5
525,127.358
526,130.144
527,126.863
528,131.582
529,135.248
530,134.022
531,115.792
532,125.586
533,130.183
534,114.75
535,118.955
536,128.977
537,128.704
538,115.635
539,130.269
540,126.54
541,121.635
542,123.236
543,117.925
544,132.158
545,115.298
546,119.375
547,129.946
548,131.221
549,124.346
550,133.42
551,139.918
552,128.264
553,122.149
554,122.088
555,127.903
556,112.524
557,124.244
558,132.095
559,121.657
560,118.667
561,109.52
562,125.816
563,114.779
564,119.146
565,124.001
566,117.504
567,106.111
568,134.228
569,131.446
570,133.207
571,127.197
572,126.713
573,106.88
574,129.977
575,114.474
576,134.528
577,126.805
578,135.079
579,125.398
580,126.846
581,121.009
582,132.395
583,120.061
584,115.996
585,132.251
586,129.415
587,113.775
588,125.951
589,130.947
590,113.129
591,133.311
592,132.796
593,131.281
594,125.305
595,134.111
596,124.024
597,130.435
598,133.294
599,125.728
600,131.836
601,140.987
602,123.061
603,126.159
604,131.8
605,128.354
606,130.934
607,123.862
608,120.952
609,133.598
610,128.381
611,123.311
612,127.318
613,133.894
614,129.889
615,119.209
616,120.657
617,120.472
618,125.809
619,133.251
620,120.137
621,124.086
622,117.386
623,131.346
624,126.642
625,113.796
626,129.867
627,114.569
628,124.493
629,121.485
630,127.141
631,128.583
632,130.644
633,119.561
634,127.22
635,103.38
636,113.799
637,134.268
638,117.054
639,135.484
640,129.004
641,122.779
642,116.55
643,127.623
644,119.54
645,134.476
646,116.295
647,120.227
648,128.708
649,119.646
650,128.398
651,120.555
652,128.825
653,123.78
654,112.699
655,123.609
656,116.165
657,134.247
658,122.905
659,117.957
660,134.43
661,128.939
662,131.184
663,131.073
664,118.084
665,126.266
666,133.48
667,114.751
668,120.607
669,124.208
670,124.987
671,130.869
672,122.79
673,131.636
674,133.235
675,119.639
676,124.222
677,129.119
678,120.786
679,118.998
680,123.761
681,126.416
682,137.207
683,120.766
684,116.659
685,127.488
686,116.225
687,120.034
688,125.867
689,137.076
690,114.714
691,116.924
692,123.443
693,121.66
694,136.798
695,110.313
696,135.346
697,119.229
698,130.089
699,115.863
700,108.185
701,120.755
702,110.839
703,120.856
704,109.222
705,128.401
706,130.791
707,130.828
708,129.88
709,110.894
710,124.835
711,114.453
712,112.209
713,131.264
714,125.353
715,130.614
716,117.967
717,128.339
718,118.827
719,115.304
720,120.575
721,128.916
722,126.413
723,121.306
724,127.636
725,130.46
726,134.498
727,124.612
728,118.922
729,125.026
730,124.458
731,127.299
732,130.725
733,127.329
734,122.724
735,123.082
736,115.893
737,119.649
738,128.257
739,130.787
740,129.037
741,132.003
742,111.818
743,120.981
744,123.775
745,127.206
746,115.591
747,106.224
748,123.455
749,110.905
750,124.852
751,134.227
752,126.195
753,123.209
754,114.085
755,111.534
756,130.299
757,119.135
758,133.38
759,125.39
760,139.438
761,134.273
762,116.815
763,112.039
764,129.58
765,123.177
766,128.762
767,130.777
768,131.274
769,121.617
770,130.065
771,108.625
772,124.748
773,126.471
774,132.587
775,123.835
776,120.553
777,128.265
778,122.216
779,124.106
780,122.175
781,118.385
782,110.224
783,127.094
784,117.328
785,120.569
786,131.542
787,121.106
788,135.426
789,127.796
790,128.444
791,136.031
792,127.127
793,117.396
794,134.938
795,128.086
796,130.156
797,124.393
798,122.315
799,135.674
800,118.712
801,126.926
802,130.89
803,131.43
804,125.555
805,128.978
806,127.315
807,120.532
808,122.919
809,129.68
810,121.885
811,126.049
812,116.128
813,127.233
814,116.108
815,128.805
816,126.349
817,135.234
818,115.608
819,130.195
820,112.506
821,128.244
822,116.229
823,119.04
824,121.055
825,128.809
826,131.346
827,120.037
828,119.698
829,126.644
830,131.434
831,130.335
832,118.005
833,130.987
834,138.423
835,123.091
836,126.959
837,123.988
838,131.31
839,119.598
840,117.741
841,131.864
842,120.228
843,124.809
844,131.568
845,133.153
846,126.486
847,132.086
848,129.516
849,112.139
850,134.058
851,123.807
852,127.039
853,118.859
854,128.416
855,120.595
856,137.007
857,131.96
858,138.557
859,120.088
860,133.611
861,128.518
862,130.94
863,123.537
864,129.256
865,127.465
866,135.164
867,119.632
868,110.264
869,129.653
870,115.818
871,121.903
872,123.465
873,137.658
874,122.648
875,124.156
876,126.149
877,118.214
878,129.691
879,127.847
880,119.505
881,122.082
882,118.113
883,125.797
884,116.134
885,129.329
886,118.545
887,127.314
888,131.458
889,121.165
890,127.04
891,121.944
892,122.708
893,119.07
894,127.688
895,119.875
896,116.22
897,117.927
898,129.116
899,113.288
900,135.956
901,129.973
902,128.713
903,134.996
904,128.536
905,125.586
906,138.537
907,129.33
908,133.048
909,129.296
910,118.134
911,134.052
912,118.134
913,127.122
914,120.354
915,128.929
916,117.478
917,113.108
918,129.45
919,127.632
920,123.207
921,138.607
922,129.965
923,116.914
924,136.536
925,126.826
926,126.152
927,114.9
928,135.54
929,131.796
930,135.328
931,130.629
932,119.975
933,133.174
934,117.465
935,117.624
936,132.611
937,130.935
938,133.378
939,119.606
940,136.284
941,124.155
942,113.334
943,138.274
944,130.239
945,131.448
946,132.127
947,115.234
948,130.638
949,129.8
950,123.991
951,127.556
952,131.642
953,112.355
954,126.933
955,114.079
956,131.06
957,125.589
958,128.412
959,133.649
960,120.058
961,114.554
962,131.918
963,119.854
964,131.955
965,118.024
966,116.783
967,120.726
968,115.079
969,126.534
970,118.634
971,121.547
972,133.774
973,124.077
974,118.816
975,127.315
976,135.49
977,127.638
978,130.541
979,124.233
980,122.765
981,129.494
982,132.588
983,135.433
984,137.068
985,123.595
986,123.312
987,116.146
988,122.413
989,120.162
990,107.985
991,116.241
992,122.088
993,134.87
994,119.208
995,120.497
996,132.828
997,116.411
998,124.338
999,128.127
1000,123.392
1001,125.16
1002,134.515
1003,121.889
1004,132.011
1005,133.355
1006,121.238
1007,121.399
1008,119.888
1009,133.503
1010,129.014
1011,122.035
1012,133.808
1013,125.857
1014,121.664
1015,129.057
1016,139.808
1017,125.724
1018,130.746
1019,118.994
1020,131.205
1021,129.569
1022,127.899
1023,128.423
1024,119.708
1025,112.241
1026,123.894
1027,123.304
1028,122.41
1029,136.191
1030,128.311
1031,118.696
1032,126.395
1033,129.633
1034,108.034
1035,118.757
1036,135.938
1037,127.815
1038,124.253
1039,127.634
1040,129.869
1041,131.023
1042,119.35
1043,119.535
1044,128.29
1045,122.679
1046,130.392
1047,127.101
1048,131.698
1049,119.039
1050,124.555
1051,115.52
